,name,sex,year_count,year_min,year_max,pct_sum,pct_max
347,Mollie,F,74,1940,2013,1.2605810871513141,0.028542466922748613
348,Jaron,M,48,1964,2013,0.5344233096142582,0.02838580586066433
349,Marva,F,63,1940,2012,0.48743847763622966,0.027982518376980816
350,Carmelo,M,74,1940,2013,0.37923083659346485,0.02741165085999379
351,Zion,F,24,1985,2013,0.25130120861461985,0.02730496361509381
352,Tommie,F,74,1940,2013,0.5053561974700499,0.027174335580090615
353,Dara,F,74,1940,2013,0.68202451175868,0.027169007419598032
354,Mariam,F,74,1940,2013,0.5894498243618036,0.02675176059318925
355,Kale,M,61,1945,2013,0.342383177670281,0.026721537510112678
356,Jordin,F,33,1981,2013,0.2085157694209646,0.026627550395635375
357,Moshe,M,72,1942,2013,0.5708328251078635,0.026444483542946054
358,Noemi,F,74,1940,2013,1.0156902276363016,0.026404746406036066
359,Mary,M,69,1940,2012,0.3982033955342867,0.026147084686351477
360,Uriah,M,62,1941,2013,0.333176405250042,0.026075800428220212
361,Elissa,F,74,1940,2013,0.8962863748631401,0.025421511084526522
362,Eddie,F,62,1940,2008,0.3461382341095802,0.025277262708603015
363,Asa,M,74,1940,2013,0.5558029485802893,0.025220856151885122
364,Jeanie,F,74,1940,2013,0.8566373777790719,0.024907575937410654
365,Matias,M,74,1940,2013,0.28972178378172075,0.02479338401371758
366,Suzan,F,74,1940,2013,0.4906672330578554,0.024710066000944407
367,Mira,F,74,1940,2013,0.3753449151959885,0.024530268393382584
368,Moesha,F,13,1996,2008,0.06008278795672248,0.024313611341786022
369,Mitzi,F,74,1940,2013,0.6614790656620584,0.02417509099968752
370,Shelli,F,62,1945,2010,0.4070627210977728,0.024145090041064944
371,Joelle,F,74,1940,2013,0.6938972552589825,0.02399779645849268
372,Amos,M,74,1940,2013,0.9175327176495337,0.023817146446973626
373,Micah,F,59,1954,2013,0.6062546254493145,0.02369491777863531
374,Mara,F,74,1940,2013,1.0310431415747463,0.023682802204340048
375,Jairo,M,49,1950,2013,0.4427732165351672,0.02318486342789188
376,Rebeca,F,74,1940,2013,0.6529717130150037,0.023121019910923805
377,Chaya,F,67,1947,2013,0.5755950780331471,0.023118206529494836
378,Hana,F,49,1960,2013,0.47681592333784195,0.02289618335664733
379,Jesse,F,74,1940,2013,0.5915197785365742,0.022790778850876936
380,Lisbeth,F,74,1940,2013,0.2927069912998926,0.02278476640600671
381,James,F,74,1940,2013,0.8834074051203983,0.0226533254032117
382,Maura,F,74,1940,2013,1.017452171568296,0.022644353796650536
383,Racheal,F,74,1940,2013,0.5811961650784424,0.022559162566674534
384,Raphael,M,74,1940,2013,0.7668819206825895,0.022495721271067026
385,Lisette,F,72,1940,2013,0.5246068180107595,0.02228450600609749
386,Addison,M,74,1940,2013,0.5337122037838671,0.02221941365209698
387,Yusuf,M,52,1949,2013,0.26509369306121544,0.022121683150170428
388,Giovanna,F,74,1940,2013,0.5478900709811937,0.022112191188075024
389,Matthias,M,72,1940,2013,0.275535633914839,0.0219613810983576
390,Jean,M,74,1940,2013,0.8840994412319584,0.021834161382000387
391,Adley,F,13,2001,2013,0.054752118118294335,0.021462828778000143
392,Livia,F,74,1940,2013,0.30088054547131193,0.02134866479513844
393,Tomika,F,32,1964,1997,0.17632662641128202,0.021267195556665414
394,Nona,F,74,1940,2013,0.4145703222452839,0.021253892173669665
395,Davin,M,63,1949,2013,0.4838987597427866,0.02123808374562568
396,Jess,M,74,1940,2013,0.7977282552346268,0.021131001859162786
397,Jason,F,52,1953,2013,0.30905354857968675,0.02078696856022458
398,Efrain,M,74,1940,2013,0.8724715875682613,0.02060981588394429
399,Rae,F,74,1940,2013,0.8141010257889509,0.020584374090640848
400,Mathias,M,74,1940,2013,0.28544876128773505,0.020572096649313077
401,Mina,F,74,1940,2013,0.4525379811027235,0.02049947311747465
402,Erin,M,72,1940,2013,0.49690809562905347,0.020484719679414138
403,Hadassah,F,55,1944,2013,0.21357363873952953,0.020326724748507167
